"chemblId","CANONICAL_SMILES","Vals","Class"
"CHEMBL1557","NCCc1ccc(O)c(O)c1",1023.29,"N"
"CHEMBL1398","O=C1OCCC1c1ccccc1",10000,"N"
"CHEMBL2030634","C1CCC(CN2CCCC2)CC1",10000,"N"
"CHEMBL2436555","NC1=Nc2ccc(Cl)cc2CN1",10000,"N"
"CHEMBL380124","O=C1CC(c2ccccc2)CO1",10000,"N"
"CHEMBL201086","O=C1OCCCC1c1ccccc1",10000,"N"
"CHEMBL30713","CC(N)Cc1c[nH]c2ccccc12",10000,"N"
"CHEMBL381102","O=C1CCCC(c2ccccc2)O1",10000,"N"
"CHEMBL1794855","CCN(C)C1CCCc2ccncc21",10000,"N"
"CHEMBL201444","CCOC(=O)C(CBr)c1ccccc1",10000,"N"
"CHEMBL432579","Cc1sc(C)c2c1CCCc1c[nH]nc1-2",10000,"N"
"CHEMBL201575","CCOC(=O)C(CCCBr)c1ccccc1",10000,"N"
"CHEMBL440390","CCOC(=O)CCCC(Br)c1ccccc1",10000,"N"
"CHEMBL1672288","N#Cc1cc(F)cc(C#Cc2csc(F)n2)c1",10000,"N"
"CHEMBL345349","c1ccc2c3c([nH]c2c1)C1CCCCN1CC3",10000,"N"
"CHEMBL379673","CN1CCCCc2[nH]c3ccccc3c2CC1",10000,"N"
"CHEMBL50498","Nc1nccc(-c2c[nH]c3cccc(O)c23)n1",10000,"N"
"CHEMBL1829958","Nc1nc(Br)ncc1-c1c[nH]c2cccc(O)c12",10000,"N"
"CHEMBL1829959","COc1cccc2[nH]cc(-c3ccnc(N)n3)c12",10000,"N"
"CHEMBL1829961","Nc1nc(Cl)ncc1-c1c[nH]c2cccc(O)c12",10000,"N"
"CHEMBL201093","CN1CCc2ccccc2Cc2ccsc2CC1",79.1,"N"
"CHEMBL201561","CN1CCCCCc2[nH]c3ccccc3c2CC1",10000,"N"
"CHEMBL229429","N#Cc1cc(F)cc(C#Cc2csc(CF)n2)c1",10000,"N"
"CHEMBL2420769","c1ccc(N2CCN(Cc3cccs3)CC2)cc1",10000,"N"
"CHEMBL554303","N[C@@H]1Cc2cc(O)c(F)cc2[C@H]1c1ccccc1",8300,"N"
"CHEMBL557171","N[C@@H]1Cc2cc(F)c(O)cc2[C@H]1c1ccccc1",9600,"N"
"CHEMBL186720","CN(C)CCOc1ccccc1Cc1ccccc1",414,"N"
"CHEMBL201483","CN1CCc2ccccc2Cc2ccn(C)c2CC1",361,"N"
