"chemblId","CANONICAL_SMILES","Vals","Class"
"CHEMBL23223","N[C@H](C(=O)N1CCSC1)C1CCCCC1",28000,"N"
"CHEMBL1425238","CCCCCCCSc1nc(N)cc(O)n1",15000,"N"
"CHEMBL22511","N[C@H](C(=O)N1CC[C@H](F)C1)C1CCCCC1",90000,"N"
"CHEMBL23981","N[C@H](C(=O)N1CC[C@@H](F)C1)C1CCCCC1",90000,"N"
"CHEMBL250403","CCCN1CCO[C@H](c2cccc(O)c2)C1",4000,"N"
"CHEMBL3590460","CCCN(CC)CC#Cc1ccc(C)cc1",1196,"N"
"CHEMBL280658","N[C@H](C(=O)N1CCC(F)(F)C1)C1CCCCC1",90000,"N"
"CHEMBL445794","c1ccc2cc(CO[C@H]3CCNC3)ccc2c1",15700,"N"
"CHEMBL451460","c1ccc2cc(OCC3CCNC3)ccc2c1",5500,"N"
"CHEMBL469809","c1ccc2cc(CO[C@@H]3CCNC3)ccc2c1",16400,"N"
"CHEMBL1086032","C[C@@H]1CCCN1CCc1ccc2ncccc2c1",10000,"N"
"CHEMBL1643368","Nc1nccc2cc(O[C@H]3CCCNC3)ccc12",19952.62,"N"
"CHEMBL1667967","O=c1[nH]ccc2cc(O[C@H]3CCCNC3)ccc12",1e+05,"N"
"CHEMBL407815","CNCc1ccccc1Oc1ccc(Cl)cc1F",5932,"N"
"CHEMBL453996","c1ccc2cc(OCC3CCNCC3)ccc2c1",3800,"N"
"CHEMBL469811","Fc1ccc2cc(CO[C@@H]3CCNC3)ccc2c1",10300,"N"
"CHEMBL506789","CN(Cc1ccc2ccccc2c1)[C@H]1CCNC1",5000,"N"
"CHEMBL559147","C[C@@H](N)[C@H]1CC[C@H](C(=O)Nc2ccncc2)CC1",79432.82,"N"
"CHEMBL608151","CCOC[C@H]1[C@@H]2CNC[C@@]21c1ccc(Cl)c(Cl)c1",12589.25,"N"
"CHEMBL1086033","Cc1ccc2cc(CCN3CCC[C@H]3C)ccc2n1",54000,"N"
"CHEMBL1630579","CCN(CC)CCOCCC1=CCC2CC1C2(C)C",4835.7,"N"
"CHEMBL1915540","CN[C@@H]1CCN(c2cc(NCC3CC3)nc(N)n2)C1",3467.37,"N"
"CHEMBL2376795","CCc1ccc2c(N3CCNCC3)nc(N)nc2c1",1513.56,"N"
"CHEMBL2376796","CCc1ccc2c(N3CC(NC)C3)nc(N)nc2c1",2454.71,"N"
"CHEMBL2376800","CCc1cnc2c(N3CC(NC)C3)nc(N)nc2c1",34673.69,"N"
"CHEMBL2376802","CNC1CN(c2nc(N)nc3cc(C#N)cnc23)C1",1e+05,"N"
"CHEMBL256818","CNCc1ccccc1Oc1ccc(Cl)cc1OC",4380,"N"
"CHEMBL3093979","CCCCN(CC)CC#CC#Cc1ccc(Cl)cc1",1921,"N"
"CHEMBL402057","CN(C)Cc1ccccc1Oc1ccc(Cl)cc1Cl",7500,"N"
"CHEMBL465515","Fc1ccc2cc(CCN3CCNCC3)ccc2c1",8500,"N"
"CHEMBL469810","N#Cc1ccc2cc(CO[C@H]3CCNC3)ccc2c1",4500,"N"
"CHEMBL657","CN(C)CCOC(c1ccccc1)c1ccccc1",26101.3,"N"
"CHEMBL1083617","CN1C[C@@H]2C[C@H]1CN2c1cnc(-c2ccccc2)cn1",26,"N"
"CHEMBL1085581","CN1C[C@@H]2C[C@H]1CN2c1ncc(-c2ccccc2)cn1",22,"N"
"CHEMBL1085824","CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccccc2)cn1",10,"P"
"CHEMBL1313991","CC(C)(C)c1ccc(CSc2nc(N)cc(O)n2)cc1",15000,"N"
"CHEMBL2376793","Nc1nc(N2CCNCC2)c2ccc(C3CC3)cc2n1",4677.35,"N"
"CHEMBL2376794","CNC1CN(c2nc(N)nc3cc(C4CC4)ccc23)C1",3630.78,"N"
"CHEMBL2376797","CCc1ccc2c(N3CC[C@@H](NC)C3)nc(N)nc2c1",2754.23,"N"
"CHEMBL2376799","CCc1cnc2c(N3CCN(C)CC3)nc(N)nc2c1",26915.35,"N"
"CHEMBL2376801","CCc1cnc2c(N3CC[C@@H](NC)C3)nc(N)nc2c1",43651.58,"N"
"CHEMBL2376804","CNC1CN(c2nc(N)nc3cc(C4CC4)cnc23)C1",1e+05,"N"
"CHEMBL2376805","CNC1CN(c2nc(N)nc3cc(C(C)C)cnc23)C1",12882.5,"N"
