"chemblId","CANONICAL_SMILES","Vals","Class"
"CHEMBL155328","NCCc1cscn1",1e+13,"N"
"CHEMBL90","NCCc1c[nH]cn1",79432.82,"N"
"CHEMBL32813","NCCc1ccccn1",6.31e+12,"N"
"CHEMBL2436555","NC1=Nc2ccc(Cl)cc2CN1",10000,"N"
"CHEMBL554031","NCCCCCCc1c[nH]cn1",2e+12,"N"
"CHEMBL175782","CN1CCC(Cc2c[nH]cn2)CC1",10000,"N"
"CHEMBL270177","CC1NC(N)=Nc2cccc(Cl)c21",1100,"N"
"CHEMBL30713","CC(N)Cc1c[nH]c2ccccc12",10000,"N"
"CHEMBL156131","NCCc1csc(-c2ccccc2)n1",3.16e+13,"N"
"CHEMBL1794855","CCN(C)C1CCCc2ccncc21",10000,"N"
"CHEMBL273170","CC1NC(N)=Nc2ccc(Cl)c(Cl)c21",8,"P"
"CHEMBL434785","N[C@@H](C(=O)O)C1Cc2ccccc2C1",10715.19,"N"
"CHEMBL90063","NCCCCCCCCc1c[nH]cn1",2.51e+13,"N"
"CHEMBL10780","NCC(c1ccccc1)c1ccccc1",10000,"N"
"CHEMBL154695","NCCc1csc(Cc2ccccc2)n1",1.58e+13,"N"
"CHEMBL287052","NCCc1c[nH]c(-c2cccc(Cl)c2)n1",1.58e+14,"N"
"CHEMBL345185","NCCCCCCCCCc1c[nH]cn1",5.01e+13,"N"
"CHEMBL10961","CNCC(c1ccccc1)c1ccccc1",10000,"N"
"CHEMBL153919","NCCc1csc(Cc2cccc(Cl)c2)n1",3.16e+13,"N"
"CHEMBL154068","NCCc1c[nH]c(-c2ccc(Cl)c(Cl)c2)n1",5.01e+13,"N"
"CHEMBL154566","NCCCCCCCCCc1ccccn1",3.16e+13,"N"
"CHEMBL1923532","CC(C)NCc1ccc(-c2ccccc2)o1",4570.88,"N"
"CHEMBL1923535","NCCc1ccccc1Oc1ccccc1",10964.78,"N"
"CHEMBL250403","CCCN1CCO[C@H](c2cccc(O)c2)C1",2000,"N"
"CHEMBL343324","CNCCCOc1cccc2ccccc12",794.33,"N"
"CHEMBL47482","NCC1c2ccccc2Cc2ccccc21",197,"N"
"CHEMBL609579","NCCC(c1ccccc1)c1ccccc1",2758,"N"
"CHEMBL90997","Fc1ccc2c(c1)CC(CC1CN=CN1)C2",1000,"N"
"CHEMBL94249","NCCCCCCCCCCc1c[nH]cn1",2e+14,"N"
"CHEMBL10602","CN(C)CC(c1ccccc1)c1ccccc1",5172,"N"
"CHEMBL154047","NCCCCCCCCCCc1ccccn1",7.94e+13,"N"
"CHEMBL157842","NCCCCCCCCCCc1cccnc1",1.26e+14,"N"
"CHEMBL158352","NCCCCCCCCCCCc1c[nH]cn1",3.98e+14,"N"
"CHEMBL160893","NCCC1c2ccccc2Cc2ccccc21",137,"N"
"CHEMBL1672288","N#Cc1cc(F)cc(C#Cc2csc(F)n2)c1",10000,"N"
"CHEMBL1824784","c1ccc(CN2C3CC4CC(C3)CC2C4)cc1",10000,"N"
"CHEMBL359122","NCCCCCCCCCCc1ccncc1",2e+14,"N"
"CHEMBL571073","Cc1ccc(CCCCN2CCCCC2)cc1",3200,"N"
"CHEMBL593494","CNCCC(c1ccccc1)c1ccccc1",64,"N"
"CHEMBL593734","NCCCC(c1ccccc1)c1ccccc1",1670,"N"
"CHEMBL73307","CNCC1c2ccccc2Cc2ccccc21",189,"N"
"CHEMBL1084132","c1ccc(N2CCN(CC3CCCCN3)C2)cc1",2511.89,"N"
"CHEMBL1098230","CC(C)(C)c1ccc(SCCc2c[nH]cn2)cc1",1000,"N"
"CHEMBL1411979","CN(C)CCN(Cc1cccs1)c1ccccn1",1.8,"P"
"CHEMBL152126","c1nc(CCCCCCCCN2CCCC2)c[nH]1",2.51e+14,"N"
"CHEMBL155188","NCCCCCCCCCCCCc1c[nH]cn1",1e+15,"N"
"CHEMBL157328","NCCc1csc(-c2cccc(C(F)(F)F)c2)n1",7.94e+13,"N"
"CHEMBL158780","NCCCC1c2ccccc2Cc2ccccc21",175,"N"
"CHEMBL160933","CN(C)CC1c2ccccc2Cc2ccccc21",25,"N"
"CHEMBL1824777","OC12CC3CC(CC(C3)N1Cc1ccccc1)C2",10000,"N"
"CHEMBL1824785","Fc1cccc(CN2C3CC4CC(C3)CC2C4)c1",10000,"N"
"CHEMBL1923526","OCCN1CCN(c2ncnc3sccc23)CC1",707.95,"N"
"CHEMBL229429","N#Cc1cc(F)cc(C#Cc2csc(CF)n2)c1",10000,"N"
"CHEMBL24665","NCCc1c[nH]c(-c2cccc(C(F)(F)F)c2)n1",2.51e+14,"N"
"CHEMBL256694","C[C@@H]1NC(NCC(F)F)=Nc2ccc(Cl)c(Cl)c21",2.6,"P"
"CHEMBL350878","NCCc1c[nH]c(CCCCc2ccccc2)n1",1e+13,"N"
"CHEMBL402377","C[C@H]1CCCN1CCc1ccc2ccccc2c1",1000,"N"
"CHEMBL429136","CC1NC(NCC(F)F)=Nc2ccc(Cl)c(Cl)c21",18.3,"N"
"CHEMBL594138","CNCCCC(c1ccccc1)c1ccccc1",386,"N"
"CHEMBL595158","CNCCC1c2ccccc2Cc2ccccc21",48,"N"
"CHEMBL608151","CCOC[C@H]1[C@@H]2CNC[C@@]21c1ccc(Cl)c(Cl)c1",1000,"N"
"CHEMBL610739","CN(C)CCC(c1ccccc1)c1ccccc1",75,"N"
"CHEMBL1201353","CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1",0.73,"P"
"CHEMBL1241","CN(C)CCN(Cc1ccccc1)c1ccccn1",1e+17,"N"
"CHEMBL129198","CN1CCN(C(=O)c2cc3cc(Cl)ccc3[nH]2)CC1",977.24,"N"
"CHEMBL152122","NCCCCCCCCCCCCc1cccnc1",2.51e+14,"N"
"CHEMBL156071","NCCCCCCCCCCCCCc1c[nH]cn1",2.51e+15,"N"
"CHEMBL157273","NCCCCCCCCCCCCc1ccncc1",2.51e+14,"N"
"CHEMBL157843","NCCCCCCCCCCCCc1ccccn1",1e+15,"N"
"CHEMBL1632411","CN1CCC(/C(=N/O)c2cc3ccccc3[nH]2)CC1",10000,"N"
"CHEMBL1824778","OC12CC3CC(CC(C3)N1Cc1cccc(F)c1)C2",10000,"N"
"CHEMBL1915534","CC(C)(C)CCNc1cc(N[C@H]2CCNC2)ncn1",40000,"N"
"CHEMBL1923525","CN(C)CCSc1nc2ccccc2c2nnnn12",707.95,"N"
"CHEMBL1923528","CNCC(O)CN1c2ccccc2C2CCCCC21",2290.87,"N"
"CHEMBL2376800","CCc1cnc2c(N3CC(NC)C3)nc(N)nc2c1",33884.42,"N"
"CHEMBL2432045","c1ccc(CN[C@H]2C3C4CC5C6C4CC3C6C52)cc1",10000,"N"
"CHEMBL319231","CC(=O)c1ccc(OCCCN2CC[C@H](N)C2)cc1",1e+05,"N"
"CHEMBL346574","NCCc1c[nH]c(CCCCCc2ccccc2)n1",1e+13,"N"
"CHEMBL348302","CNCCCC1c2ccccc2Cc2ccccc21",3,"P"
"CHEMBL505","CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1",7,"P"
"CHEMBL593988","CN(C)CCC1c2ccccc2Cc2ccccc21",6,"P"
"CHEMBL608689","CN(C)CCCC(c1ccccc1)c1ccccc1",70,"N"
"CHEMBL657","CN(C)CCOC(c1ccccc1)c1ccccc1",20,"N"
"CHEMBL1085672","O=C1N(CC2CCCCN2)CCN1c1cccc(Cl)c1",1995.26,"N"
"CHEMBL1172775","COc1ccc(N2CCC(Cc3c[nH]cn3)CC2)cc1",1000,"N"
"CHEMBL1189234","OC12C3C4CC5C6C4C1C6C(C53)N2Cc1ccccc1",10000,"N"
"CHEMBL1222552","C1=C(N2CCNCC2)c2nccn2Cc2ccccc21",0.631,"P"
"CHEMBL127508","OC(c1ccccc1)(c1ccccc1)C1CCNCC1",659,"N"
"CHEMBL14638","O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1",10000,"N"
"CHEMBL155314","NCCCCCCCCCCCCCCc1c[nH]cn1",3.98e+15,"N"
"CHEMBL157217","c1nc(CCCCCCCCCCN2CCCC2)c[nH]1",2.51e+14,"N"
"CHEMBL1632412","Cc1ccc2[nH]c(/C(=N\O)C3CCN(C)CC3)cc2c1",10000,"N"
"CHEMBL1632413","CN1CCN(/C(=N\O)c2cc3cc(Cl)ccc3[nH]2)CC1",10000,"N"
"CHEMBL1632414","CN1CCC(/C(=N/O)c2nc3cc(Cl)ccc3[nH]2)CC1",1000,"N"
"CHEMBL1915535","CN1CCN(c2cc(NCCC(C)(C)C)ncn2)CC1",10000,"N"
"CHEMBL1923521","c1ccc(Cc2ccccc2OC2CCNCC2)cc1",6,"P"
"CHEMBL1923523","NC1=NC(c2ccccc2)n2c(nc3ccccc32)N1",426.58,"N"
"CHEMBL1923524","Cc1cccc2c(CCN)cn(Cc3ccccc3)c12",537.03,"N"
"CHEMBL1923529","c1ccc2c(c1)nc1n(CCN3CCCCC3)cnn21",2630.27,"N"
"CHEMBL1923531","c1ccc2c(c1)n(CCN1CCCCC1)c1ncnn21",4168.69,"N"
"CHEMBL2203551","c1ccc(OCc2cc(OC[C@@H]3CCCN3)no2)cc1",10000,"N"
"CHEMBL2376801","CCc1cnc2c(N3CC[C@@H](NC)C3)nc(N)nc2c1",11220.18,"N"
"CHEMBL2376804","CNC1CN(c2nc(N)nc3cc(C4CC4)cnc23)C1",20892.96,"N"
"CHEMBL2391541","C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12",1258.93,"N"
"CHEMBL260374","S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1",10000,"N"
"CHEMBL346230","CN(C)CCCC1c2ccccc2Cc2ccccc21",0.5,"P"
"CHEMBL360953","Cn1ccc2c1CCn1ccnc1C2=C1CCNCC1",22,"N"
"CHEMBL445","CNCCC=C1c2ccccc2CCc2ccccc21",5.86,"P"
"CHEMBL462605","Clc1ccc(CCCOCCCN2CCCCC2)cc1",1148.15,"N"
"CHEMBL564","CN(C)CCCN1c2ccccc2Sc2ccccc21",0.399,"P"
"CHEMBL643","CC(CN1c2ccccc2Sc2ccccc21)N(C)C",0.334,"P"
"CHEMBL6437","CN1CCN2c3ccccc3Cc3ccccc3C2C1",0.175,"P"
"CHEMBL648","CN1CCN(C(c2ccccc2)c2ccccc2)CC1",4.44,"P"
"CHEMBL654","CN1CCN2c3ncccc3Cc3ccccc3C2C1",1.6,"P"
"CHEMBL900","Cc1ccccc1C(OCCN(C)C)c1ccccc1",144,"N"
"CHEMBL1090197","CN(C)CCC1=C(Cc2cccnn2)c2ccccc2C1",7.7,"P"
"CHEMBL1090198","CN(C)CCC1=C(Cc2ncccn2)c2ccccc2C1",15,"N"
"CHEMBL1091782","C[C@@H](c1cscn1)c1c(CCN(C)C)sc2ccccc12",4.6,"P"
"CHEMBL1092118","C[C@@H](c1cncs1)c1c(CCN(C)C)sc2ccccc12",5.2,"P"
"CHEMBL1092598","C[C@H](C1=C(CCN(C)C)Cc2ccccc21)c1nccs1",0.8,"P"
"CHEMBL1092767","CC(c1nccs1)c1c(CCN(C)C)sc2ccccc12",35,"N"
"CHEMBL1093044","CNCCc1sc2ccccc2c1[C@@H](C)c1ccccn1",32000,"N"
"CHEMBL1093058","C[C@H](c1c(CCN(C)C)sc2ccccc12)n1cccn1",4.4,"P"
"CHEMBL1093607","CC(c1c(CCN(C)C)sc2ccccc12)n1ccnc1",122,"N"
"CHEMBL1125","Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1",22,"N"
"CHEMBL11603","NCCc1c[nH]c(C(c2ccccc2)c2ccccc2)n1",1e+13,"N"
"CHEMBL1628227","CN(C)CCC=C1c2ccccc2COc2ccccc21",0.066,"P"
"CHEMBL1643900","Fc1cccc(CCN[C@H]2C3C4CC5C6C4CC3C6C52)c1",2376,"N"
"CHEMBL1643901","CN(Cc1cccc(F)c1)[C@H]1C2C3CC4C5C3CC2C5C41",10000,"N"
"CHEMBL1923530","c1ccc2c(N3CCN(C4CCCC4)CC3)ncnc2c1",3235.94,"N"
"CHEMBL1923533","OC(CNC1CC1)Cn1c2ccccc2c2ccccc21",6309.57,"N"
"CHEMBL1923534","NCCSc1nc(C2CCCCC2)n(-c2ccccc2)n1",8128.31,"N"
"CHEMBL2112371","CNC[C@@H]1C[C@H]2c3ccccc3Cc3ccccc3[C@@H]2O1",3.5,"P"
"CHEMBL21731","CNCCCC12CCC(c3ccccc31)c1ccccc12",1.02,"P"
"CHEMBL2204360","Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1",180,"N"
"CHEMBL2432039","C1C2C3CC4C2C2C1C3[C@H](NCC13C5C6C7C5C1C7C63)C42",4736,"N"
"CHEMBL2441619","Cc1ccc2nc(C(F)(F)F)cc(N3CCNCC3)c2c1",399,"N"
"CHEMBL3094130","c1cc2c(cc1OCCCN1CCCCC1)CCNCC2",1258.93,"N"
"CHEMBL3094213","CC(C)N1CCC(Oc2ccc3c(c2)CCNCC3)CC1",2511.89,"N"
"CHEMBL329685","CNCC1C[C@@H]2c3ccccc3Cc3ccccc3[C@H]2O1",9.3,"P"
