    molid1      molid2     ss1     ss2   sim12   Sscore
      1557      1398  34.279  41.329  25.405  0.5061
      1557   2030634  34.279  40.119  21.082  0.3954
      1557   2436555  34.279  42.199  20.482  0.3658
      1557    380124  34.279  41.069  25.264  0.5044
      1557    201086  34.279  45.139  25.310  0.4678
      1557     30713  34.279  49.749  25.526  0.4363
      1557    381102  34.279  44.879  25.326  0.4705
      1557   1794855  34.279  49.839  21.222  0.3374
      1557    201444  34.279  44.889  26.607  0.5062
      1557    432579  34.279  62.798  19.050  0.2441
      1557    201575  34.279  51.718  26.696  0.4502
      1557    440390  34.279  50.298  26.169  0.4480
      1557   1672288  34.279  58.838  26.924  0.4068
      1557    345349  34.279  74.778  19.888  0.2230
      1557    379673  34.279  69.558  20.557  0.2468
      1557     50498  34.279  69.898  24.792  0.3123
      1557   1829958  34.279  74.368  25.394  0.3050
      1557   1829959  34.279  73.828  24.682  0.2959
      1557   1829961  34.279  74.368  25.394  0.3050
      1557    201093  34.279  68.338  21.651  0.2674
      1557    201561  34.279  73.178  20.520  0.2360
      1557    229429  34.279  62.368  26.840  0.3845
      1557   2420769  34.279  65.628  23.195  0.3024
      1557    554303  34.279  80.868  27.239  0.3099
      1557    557171  34.279  80.868  27.271  0.3103
      1557    186720  34.279  65.508  28.792  0.4055
      1557    201483  34.279  72.788  21.316  0.2486
      1557    201525  34.279  72.378  21.871  0.2580
      1557     24077  34.279  78.908  28.700  0.3397
      1557   2420770  34.279  70.068  23.556  0.2916
      1557   2420771  34.279  70.068  23.323  0.2878
      1557   2420774  34.279  70.068  25.835  0.3291
      1557   2420775  34.279  69.558  23.538  0.2931
      1557   2420776  34.279  69.558  23.287  0.2891
      1557   2420778  34.279  69.558  25.796  0.3305
      1557    286080  34.279  73.188  28.810  0.3663
      1557   3115585  34.279  70.038  26.372  0.3383
      1557    535374  34.279  85.188  27.322  0.2965
      1557    556194  34.279  84.738  27.126  0.2952
      1557    557582  34.279  85.188  27.290  0.2961
      1557    557781  34.279  84.778  27.122  0.2950
      1557       589  34.279  66.608  25.955  0.3464
      1557    593626  34.279  78.458  23.574  0.2644
      1557    593897  34.279  77.738  23.660  0.2678
      1557   1077189  34.279  92.068  20.479  0.1934
      1557    201170  34.279  76.618  24.470  0.2831
      1557    134807  34.279  78.198  27.782  0.3280
      1557   1814790  34.279  83.508  26.576  0.2914
      1557    201142  34.279  75.608  22.298  0.2546
