    molid1      molid2     ss1     ss2   sim12   Sscore
   1089752   2169891 110.667  82.988  50.403  0.3519
   1089752   2170045 110.667  96.408  64.272  0.4501
   1089752   2170046 110.667 107.067  71.847  0.4925
   1089752   2170047 110.667 100.057  67.158  0.4678
   1089752   2170048 110.667 101.777  67.675  0.4675
   1089752   2170049 110.667 119.177  71.719  0.4536
   1089752   2170050 110.667 112.997  72.801  0.4826
   1089752   2170051 110.667  84.618  48.835  0.3335
   1089752   2170052 110.667  84.518  54.111  0.3836
   1089752   2170053 110.667  79.968  49.247  0.3483
   1089752   2170054 110.667  79.968  52.071  0.3758
   1089752   2170055 110.667  89.428  52.783  0.3583
   1089752   2170056 110.667  98.007  56.589  0.3721
   1089752   2170057 110.667  76.288  47.973  0.3452
   1089752   2170058 110.667  83.788  50.563  0.3514
   1089752   2170059 110.667  80.428  49.052  0.3453
   1089752   2170060 110.667  75.648  46.284  0.3305
   1089752   2170061 110.667  84.878  50.083  0.3443
   1089752   2170062 110.667  95.768  63.554  0.4448
   1089752   2170063 110.667  91.048  60.485  0.4283
   1089752   2170064 110.667 100.627  66.243  0.4567
   1089752   2170065 110.667  62.068  32.883  0.2351
   1089752   2170066 110.667  71.718  42.402  0.3029
   1089752   2170067 110.667  95.768  66.414  0.4743
   1089752   2170068 110.667  92.088  64.320  0.4646
   1089752   2170069 110.667  88.898  62.589  0.4569
   1089752   2170070 110.667 113.367  70.351  0.4578
   1089752   2170071 110.667  94.467  58.480  0.3988
   1089752   2170072 110.667  83.828  52.461  0.3694
   1089752   2170073 110.667 110.467  69.583  0.4591
   1089752   2170074 110.667  86.998  52.671  0.3633
   1089752   2170075 110.667  86.008  51.785  0.3574
   1089752   2170076 110.667  86.008  51.156  0.3515
   1089752   2170203 110.667 103.407  59.925  0.3887
   1089752   2170204 110.667  79.208  50.028  0.3577
   1089752   2170205 110.667  96.337  69.025  0.5003
   1089752   2170206 110.667  82.108  51.071  0.3604
   1089752   2170207 110.667  89.027  54.202  0.3725
   1089752   2170208 110.667 101.127  51.748  0.3233
   1089752   2170209 110.667  87.438  51.636  0.3525
   1089752   2170210 110.667  91.338  56.008  0.3836
   1089752   2170211 110.667  83.438  53.268  0.3782
   1089752   2170212 110.667  83.848  53.334  0.3778
   1089752   2170213 110.667  91.268  56.876  0.3921
   1089752   2170214 110.667  93.037  54.352  0.3639
   1089752   2170215 110.667 108.127  66.468  0.4364
   1089752   2170216 110.667  87.628  53.183  0.3665
   1089752   2170217 110.667  83.978  53.898  0.3829
   1089752   2170218 110.667  91.488  57.273  0.3953
   1089752   2170219 110.667  82.988  53.690  0.3836
   1089752   2170220 110.667  86.848  54.353  0.3797
   1089752   2170221 110.667  90.628  54.595  0.3722
   1089752   2170222 110.667  86.998  55.171  0.3872
   1089752   2170223 110.667  90.628  57.834  0.4031
   1089752   2170224 110.667 115.937  71.230  0.4584
   1089752   2170225 110.667  84.618  50.015  0.3443
   1089752   2170226 110.667  80.938  50.786  0.3607
   1089752   2170227 110.667  84.618  53.423  0.3766
   1089752   2170228 110.667  88.098  56.116  0.3934
   1089752   2170229 110.667  88.498  55.983  0.3910
   1089752   2170230 110.667 125.937  68.784  0.4099
   1089752   2170231 110.667  88.498  54.322  0.3750
   1089752   2170232 110.667 102.737  60.236  0.3933
   1089752   2170233 110.667 110.007  68.777  0.4528
   1089752   2170234 110.667  77.748  48.704  0.3486
   1089752   2170235 110.667  87.628  54.775  0.3817
   1089752   2170236 110.667  80.938  48.367  0.3377
   1089752   2170237 110.667  79.968  47.257  0.3296
   1089752   2170238 110.667  76.308  47.903  0.3444
   1089752   2170239 110.667  79.968  50.551  0.3609
   1089752   2324614 110.667  85.208  54.456  0.3851
   1089752   2324615 110.667  82.318  54.351  0.3920
   1089752   2338336 110.667 113.357  67.093  0.4275
   1089752   2338337 110.667 117.157  68.138  0.4267
   1089752   2338338 110.667 110.447  63.053  0.3989
   1089752   2338339 110.667 117.977  67.624  0.4200
   1089752   2338340 110.667 105.118  61.541  0.3990
   1089752   2338341 110.667 117.977  71.551  0.4555
   1089752   2338342 110.667 117.647  67.823  0.4226
   1089752   2338343 110.667 121.777  65.806  0.3949
   1089752   2338344 110.667 121.777  68.481  0.4177
   1089752   2338345 110.667 129.687  71.290  0.4217
   1089752   2338759 110.667 151.246  76.740  0.4144
   1089752   2338760 110.667 117.977  69.741  0.4389
   1089752   2338761 110.667 117.977  70.125  0.4424
   1089752   2338762 110.667 121.777  68.244  0.4156
   1089752   2338763 110.667 121.777  68.621  0.4189
   1089752   2338764 110.667 121.777  66.135  0.3977
   1089752   2338765 110.667 134.057  68.969  0.3924
   1089752   2338766 110.667 134.057  68.943  0.3922
   1089752   2338767 110.667 134.397  68.969  0.3917
   1089752   2338768 110.667 138.267  68.718  0.3813
   1089752   2338769 110.667 129.857  69.287  0.4046
   1089752   2338770 110.667  99.318  59.156  0.3922
   1089752   2338771 110.667 114.677  68.173  0.4338
   1089752   2338772 110.667 117.977  68.237  0.4254
   1089752   2338773 110.667 136.657  70.690  0.4002
   1089752   2338774 110.667 127.057  67.473  0.3963
   1089752   2338775 110.667 127.057  70.319  0.4201
   1089752   2338776 110.667 128.057  69.097  0.4073
   1089752   2338777 110.667 137.627  75.127  0.4338
   1089752   2338778 110.667 129.187  68.975  0.4037
   1089752   2338779 110.667 113.357  68.226  0.4379
   1089752   2338780 110.667  54.938  36.488  0.2826
   1089752   2338781 110.667 133.847  68.969  0.3929
   1089752   2338782 110.667 133.847  68.944  0.3927
   1089752    282433 110.667  62.898  44.503  0.3448
   1089752   3104091 110.667  96.468  62.332  0.4305
   1089752   3104092 110.667  95.748  64.874  0.4583
   1089752   3104093 110.667  96.108  63.319  0.4414
   1089752   3104856 110.667 115.807  75.388  0.4990
   1089752   3104857 110.667 115.807  75.715  0.5022
   1089752   3233525 110.667  75.058  55.264  0.4236
   1089752   3233526 110.667  78.898  56.638  0.4261
   1089752   3233527 110.667  92.878  70.195  0.5264
   1089752   3233528 110.667  89.938  66.143  0.4919
   1089752   3233529 110.667  89.938  66.468  0.4955
   1089752   3233530 110.667 110.367  76.942  0.5340
   1089752   3233531 110.667 110.367  77.268  0.5375
   1089752   3233532 110.667 109.517  76.867  0.5363
   1089752   3233533 110.667 117.257  77.099  0.5112
   1089752   3233535 110.667  90.398  67.584  0.5063
   1089752   3233536 110.667 100.927  74.192  0.5400
   1089752   3233537 110.667  82.598  57.350  0.4220
   1089752   3360552 110.667 109.867  96.420  0.7769
   1089752   3360553 110.667 100.127  83.975  0.6622
   1089752   3360554 110.667 129.827  85.869  0.5553
   1089752   3360555 110.667 100.207  82.711  0.6453
   1089752   3360556 110.667  95.387  79.042  0.6223
   1089752   3360557 110.667 100.907  76.135  0.5621
   1089752   3360558 110.667 100.907  75.499  0.5548
   1089752   3360559 110.667 128.587  85.910  0.5602
   1089752   3360560 110.667 132.667  85.631  0.5430
   1089752   3360561 110.667 103.087  82.838  0.6327
   1089752   3360562 110.667 132.727  83.719  0.5243
   1089752   3360563 110.667 103.167  81.645  0.6176
   1089752   3360564 110.667  98.347  78.198  0.5978
   1089752   3360565 110.667 103.767  75.235  0.5405
   1089752   3360566 110.667 103.767  74.571  0.5332
   1089752   3360567 110.667  86.068  63.130  0.4725
   1089752   3360568 110.667 115.737  80.811  0.5550
   1089752   3360569 110.667 104.967  77.052  0.5560
   1089752   3360570 110.667 134.797  81.097  0.4934
   1089752   3360571 110.667 105.047  76.282  0.5471
   1089752   3360572 110.667 100.228  74.071  0.5414
   1089752   3360573 110.667 105.897  74.232  0.5215
   1089752   3360574 110.667 105.897  73.806  0.5170
   1089752   3409372 110.667 115.577 100.963  0.8059
   1089752   3409373 110.667  84.698  67.630  0.5295
   1089752   3409374 110.667  84.618  67.571  0.5291
   1089752   3409375 110.667  84.698  67.632  0.5295
   1089752   3409376 110.667  80.498  66.120  0.5288
   1089752   3409377 110.667  84.698  67.147  0.5237
   1089752   3409378 110.667  84.618  67.079  0.5232
   1089752   3409379 110.667  84.698  67.149  0.5237
   1089752   3409380 110.667  88.868  72.213  0.5672
   1089752   3409381 110.667  88.868  71.662  0.5604
   1089752   3409382 110.667  85.178  72.193  0.5838
