chemblId,CANONICAL_SMILES,Vals,Class
CHEMBL1089752,CN(CCCN1C(=O)[C@H]2Cc3ccccc3CN2C1=O)Cc4ccccc4,7.1,P
CHEMBL2169891,Clc1ccc(cc1Cl)n2ccc(OCCCN3CCOCC3)n2,16.1,N
CHEMBL2170045,Cc1cc(OCCN2CCOCC2)n(n1)c3ccc4ccccc4c3,1000,N
CHEMBL2170046,CC(=O)N1CCN(CCOc2cc(C)n(n2)c3ccc4ccccc4c3)CC1,83.4,N
CHEMBL2170047,Cc1cc(OCCN2CCOCC2=O)nn1c3ccc4ccccc4c3,1000,N
CHEMBL2170048,Cc1cc(OCCCCN2CCOCC2)nn1c3ccc4ccccc4c3,99.1,N
CHEMBL2170049,C[C@@H]1CN(CCCCOc2cc(C)n(n2)c3ccc4ccccc4c3)C[C@H](C)O1,65,N
CHEMBL2170050,CC(=O)N1CCN(CCCCOc2cc(C)n(n2)c3ccc4ccccc4c3)CC1,296,N
CHEMBL2170051,Cc1cc(SCCN2CCOCC2)nn1c3ccc(Cl)c(Cl)c3,14.2,N
CHEMBL2170052,Clc1ccc(cc1Cl)n2ccc(NC(=O)CN3CCCCC3)n2,80.8,N
CHEMBL2170053,Clc1ccc(cc1Cl)n2ccc(NCCN3CCOCC3)n2,39.4,N
CHEMBL2170054,Clc1ccc(cc1Cl)n2ccc(NCCN3CCCCC3)n2,10,P
CHEMBL2170055,Cc1c(C)n(nc1OCCN2CCOCC2)c3ccc(Cl)c(Cl)c3,9.4,P
CHEMBL2170056,CC(=O)c1c(C)n(nc1OCCN2CCOCC2)c3ccc(Cl)c(Cl)c3,741,N
CHEMBL2170057,Cc1cc(OCCN2CCOCC2)nn1c3ccccc3,1000,N
CHEMBL2170058,COc1ccc(cc1)n2nc(OCCN3CCOCC3)cc2C,1000,N
CHEMBL2170059,Cc1cc(OCCN2CCOCC2)nn1c3cccc(Cl)c3,180,N
CHEMBL2170060,Clc1ccc(cc1)n2ccc(OCCN3CCOCC3)n2,17.8,N
CHEMBL2170061,Cc1cc(OCCN2CCOCC2)nn1c3ccc(Cl)cc3Cl,44,N
CHEMBL2170062,Cc1cc(OCCN2CCOCC2)nn1c3ccc4ccccc4c3,17,N
CHEMBL2170063,C(CN1CCOCC1)Oc2ccn(n2)c3ccc4ccccc4c3,33.3,N
CHEMBL2170064,Cc1c(C)n(nc1OCCN2CCOCC2)c3ccc4ccccc4c3,139,N
CHEMBL2170065,CC(C)(C)n1ccc(OCCN2CCOCC2)n1,1000,N
CHEMBL2170066,C(CN1CCOCC1)Oc2ccn(n2)C3CCCCC3,23.1,N
CHEMBL2170067,Cc1cc(OCCN2CCCCC2)nn1c3ccc4ccccc4c3,10,P
CHEMBL2170068,Cc1cc(OCCN2CCCC2)nn1c3ccc4ccccc4c3,9.9,P
CHEMBL2170069,CCN(CC)CCOc1cc(C)n(n1)c2ccc3ccccc3c2,47,N
CHEMBL2170070,C[C@@H]1CN(CCOc2cc(C)n(n2)c3ccc4ccccc4c3)C[C@H](C)O1,33.8,N
CHEMBL2170071,CN1CCN(CCCCOc2cc(C)n(n2)c3ccc(Cl)c(Cl)c3)CC1,9.9,P
CHEMBL2170072,CCN(CC)CCCCOc1cc(C)n(n1)c2ccc(Cl)c(Cl)c2,11.7,N
CHEMBL2170073,Cc1cc(OCCCCn2ccc3C(=O)CCCc23)nn1c4ccc(Cl)c(Cl)c4,1000,N
CHEMBL2170074,Cc1cc(OCCCCn2ccnc2)nn1c3ccc(Cl)c(Cl)c3,854,N
CHEMBL2170075,Clc1ccc(cc1Cl)n2ccc(OCCCCN3CCOCC3)n2,17.6,N
